content	education	High school or equivalent
meta	experience	FINANCE / SALES
meta	experience	GO AUTO SALES
meta	experience	November 2015 to Present
meta	experience	Selling, Closing, desking, Submitting, Dealing with Rep's, Buyers, from A-Z
meta	experience	Training their owner
meta	experience	MAD AUTO SALES
meta	experience	January 2017 to December 2017
meta	experience	JANUARY 2017 - DECEMBER 2017
meta	experience	• This was a new dealership that brought me on to help train and assist with Financing and signing up new lenders. Training their owner in the business as well as teaching the staff how to approach new customers, Take applications over the phone, set appointments, Follow up with references, job verifications, Etc.
meta	experience	Production manager
meta	experience	Flambeau
meta	experience	March 2012 to March 2015
meta	experience	Monitor and maintain people requirements Assignments for manufacturing personnel Communicate and cross train production personnel regarding company expectations. Facilitate the implementation of corrective action for non-complying product. track, Monitor and maintain people requirements and Assignments for manufacturing personnel.
